都道府県市区町村,総数,中国,ベトナム,韓国,フィリピン,ブラジル,ネパール,インドネシア,米国,台湾,タイ,その他
熊本県,"16,686 ","3,238 ","5,804 ",892 ,"2,523 ",52 ,581 ,652 ,363 ,183 ,304 ,"2,094 "
熊本市,"6,196 ","1,852 ","1,342 ",489 ,619 ,24 ,343 ,231 ,209 ,99 ,109 ,879 
熊本市中央区,"2,425 ",851 ,218 ,245 ,199 ,6 ,223 ,62 ,80 ,71 ,46 ,424 
熊本市東区,"1,209 ",332 ,304 ,84 ,152 ,9 ,44 ,41 ,59 ,13 ,12 ,159 
熊本市西区,721 ,244 ,202 ,53 ,58 ,1 ,21 ,8 ,25 ,6 ,14 ,89 
熊本市南区,880 ,231 ,279 ,37 ,87 ,6 ,9 ,81 ,17 ,2 ,8 ,123 
熊本市北区,961 ,194 ,339 ,70 ,123 ,2 ,46 ,39 ,28 ,7 ,29 ,84 
八代市,"2,469 ",347 ,"1,025 ",26 ,656 ,5 ,23 ,57 ,20 ,9 ,44 ,257 
人吉市,236 ,23 ,104 ,9 ,39 ,2 ,7 ,14 ,10 ,3 ,1 ,24 
荒尾市,346 ,39 ,116 ,41 ,43 ,3 ,2 ,12 ,4 ,3 ,9 ,74 
水俣市,69 ,2 ,4 ,12 ,30 ,1 ,0 ,1 ,5 ,0 ,2 ,12 
玉名市,926 ,76 ,500 ,25 ,98 ,1 ,11 ,79 ,10 ,6 ,36 ,84 
山鹿市,367 ,43 ,110 ,13 ,124 ,3 ,5 ,32 ,4 ,3 ,3 ,27 
菊池市,768 ,44 ,446 ,18 ,133 ,0 ,8 ,25 ,15 ,2 ,25 ,52 
宇土市,231 ,29 ,119 ,10 ,21 ,1 ,0 ,7 ,6 ,1 ,3 ,34 
上天草市,88 ,16 ,23 ,2 ,19 ,1 ,7 ,2 ,2 ,0 ,0 ,16 
宇城市,557 ,71 ,258 ,10 ,88 ,3 ,22 ,35 ,6 ,1 ,2 ,61 
阿蘇市,500 ,43 ,201 ,9 ,69 ,1 ,23 ,24 ,8 ,0 ,0 ,122 
天草市,297 ,45 ,122 ,16 ,41 ,1 ,0 ,7 ,10 ,1 ,1 ,53 
合志市,319 ,72 ,63 ,30 ,49 ,1 ,6 ,29 ,4 ,10 ,4 ,51 
美里町,68 ,17 ,29 ,1 ,12 ,0 ,3 ,2 ,1 ,0 ,0 ,3 
玉東町,22 ,3 ,3 ,2 ,4 ,0 ,0 ,4 ,0 ,0 ,3 ,3 
南関町,142 ,13 ,77 ,3 ,38 ,0 ,3 ,4 ,1 ,0 ,0 ,3 
長洲町,491 ,30 ,297 ,7 ,142 ,0 ,4 ,1 ,5 ,0 ,0 ,5 
和水町,55 ,7 ,16 ,2 ,8 ,0 ,3 ,4 ,0 ,1 ,4 ,10 
大津町,446 ,75 ,191 ,19 ,76 ,3 ,17 ,11 ,8 ,6 ,4 ,36 
菊陽町,417 ,151 ,98 ,33 ,14 ,0 ,15 ,12 ,3 ,15 ,22 ,54 
南小国町,108 ,24 ,19 ,14 ,7 ,0 ,29 ,0 ,1 ,8 ,0 ,6 
小国町,41 ,6 ,13 ,3 ,5 ,0 ,2 ,2 ,0 ,8 ,0 ,2 
産山村,35 ,1 ,8 ,15 ,2 ,0 ,5 ,0 ,1 ,0 ,0 ,3 
高森町,91 ,8 ,30 ,14 ,10 ,0 ,1 ,0 ,2 ,0 ,4 ,22 
西原村,91 ,3 ,57 ,2 ,10 ,0 ,0 ,0 ,2 ,0 ,0 ,17 
南阿蘇村,106 ,4 ,7 ,2 ,10 ,0 ,29 ,1 ,6 ,1 ,2 ,44 
御船町,105 ,27 ,39 ,9 ,11 ,0 ,0 ,3 ,3 ,2 ,1 ,10 
嘉島町,104 ,14 ,40 ,7 ,3 ,0 ,2 ,13 ,0 ,0 ,0 ,25 
益城町,149 ,15 ,77 ,8 ,24 ,1 ,3 ,5 ,1 ,1 ,4 ,10 
甲佐町,70 ,6 ,43 ,2 ,7 ,0 ,4 ,4 ,1 ,0 ,0 ,3 
山都町,101 ,6 ,16 ,3 ,21 ,0 ,2 ,15 ,1 ,0 ,4 ,33 
氷川町,182 ,58 ,35 ,5 ,33 ,0 ,0 ,7 ,0 ,0 ,8 ,36 
芦北町,40 ,11 ,8 ,3 ,8 ,0 ,0 ,3 ,2 ,0 ,0 ,5 
津奈木町,8 ,0 ,2 ,3 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,0 
錦町,58 ,7 ,12 ,4 ,15 ,0 ,1 ,3 ,2 ,1 ,8 ,5 
多良木町,64 ,0 ,48 ,1 ,12 ,0 ,1 ,0 ,1 ,0 ,0 ,1 
湯前町,6 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,2 ,0 ,1 ,1 
水上村,11 ,6 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,0 ,0 
相良村,20 ,4 ,4 ,3 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,5 
五木村,3 ,2 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
山江村,4 ,1 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
球磨村,4 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
あさぎり町,216 ,21 ,159 ,15 ,12 ,1 ,0 ,3 ,3 ,0 ,0 ,2 
苓北町,59 ,15 ,38 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 
