国籍・地域,在留資格,年齢,性別,都道府県,在留外国人数
アフガニスタン,技術・人文知識・国際業務,49,1：男,43：熊本県,1
アフガニスタン,留学,30,1：男,43：熊本県,1
アフガニスタン,留学,30,2：女,43：熊本県,1
アフガニスタン,留学,32,1：男,43：熊本県,2
アフガニスタン,留学,34,1：男,43：熊本県,2
アフガニスタン,留学,37,1：男,43：熊本県,1
アフガニスタン,家族滞在,0,1：男,43：熊本県,1
アフガニスタン,家族滞在,0,2：女,43：熊本県,1
アフガニスタン,家族滞在,2,2：女,43：熊本県,1
アフガニスタン,家族滞在,3,1：男,43：熊本県,1
アフガニスタン,家族滞在,4,2：女,43：熊本県,1
アフガニスタン,家族滞在,5,2：女,43：熊本県,1
アフガニスタン,家族滞在,6,1：男,43：熊本県,1
アフガニスタン,家族滞在,6,2：女,43：熊本県,1
アフガニスタン,家族滞在,8,2：女,43：熊本県,1
アフガニスタン,家族滞在,9,1：男,43：熊本県,1
アフガニスタン,家族滞在,24,2：女,43：熊本県,1
アフガニスタン,家族滞在,30,2：女,43：熊本県,2
アフガニスタン,家族滞在,32,2：女,43：熊本県,1
アフガニスタン,永住者,67,1：男,43：熊本県,1
アラブ首長国連邦,留学,22,1：男,43：熊本県,1
ミャンマー,技術・人文知識・国際業務,24,1：男,43：熊本県,1
ミャンマー,技術・人文知識・国際業務,25,1：男,43：熊本県,2
ミャンマー,技術・人文知識・国際業務,25,2：女,43：熊本県,1
ミャンマー,技術・人文知識・国際業務,26,1：男,43：熊本県,5
ミャンマー,技術・人文知識・国際業務,26,2：女,43：熊本県,2
ミャンマー,技術・人文知識・国際業務,27,1：男,43：熊本県,3
ミャンマー,技術・人文知識・国際業務,28,2：女,43：熊本県,3
ミャンマー,技術・人文知識・国際業務,30,1：男,43：熊本県,1
ミャンマー,技術・人文知識・国際業務,31,1：男,43：熊本県,1
ミャンマー,技術・人文知識・国際業務,31,2：女,43：熊本県,2
ミャンマー,技術・人文知識・国際業務,33,2：女,43：熊本県,1
ミャンマー,技術・人文知識・国際業務,39,2：女,43：熊本県,1
ミャンマー,技術・人文知識・国際業務,42,2：女,43：熊本県,1
ミャンマー,特定技能１号,26,2：女,43：熊本県,1
ミャンマー,特定技能１号,28,2：女,43：熊本県,3
ミャンマー,特定技能１号,29,2：女,43：熊本県,2
ミャンマー,特定技能１号,30,1：男,43：熊本県,1
ミャンマー,特定技能１号,35,2：女,43：熊本県,1
ミャンマー,特定技能１号,39,2：女,43：熊本県,1
ミャンマー,技能実習１号ロ,19,1：男,43：熊本県,1
ミャンマー,技能実習１号ロ,19,2：女,43：熊本県,1
ミャンマー,技能実習１号ロ,20,2：女,43：熊本県,3
ミャンマー,技能実習１号ロ,21,2：女,43：熊本県,4
ミャンマー,技能実習１号ロ,22,1：男,43：熊本県,1
ミャンマー,技能実習１号ロ,22,2：女,43：熊本県,4
ミャンマー,技能実習１号ロ,23,1：男,43：熊本県,2
ミャンマー,技能実習１号ロ,23,2：女,43：熊本県,3
ミャンマー,技能実習１号ロ,24,1：男,43：熊本県,4
ミャンマー,技能実習１号ロ,24,2：女,43：熊本県,2
ミャンマー,技能実習１号ロ,25,1：男,43：熊本県,3
ミャンマー,技能実習１号ロ,25,2：女,43：熊本県,3
ミャンマー,技能実習１号ロ,26,2：女,43：熊本県,4
ミャンマー,技能実習１号ロ,27,2：女,43：熊本県,1
ミャンマー,技能実習１号ロ,28,1：男,43：熊本県,2
ミャンマー,技能実習１号ロ,29,1：男,43：熊本県,1
ミャンマー,技能実習１号ロ,29,2：女,43：熊本県,3
ミャンマー,技能実習１号ロ,30,1：男,43：熊本県,2
ミャンマー,技能実習１号ロ,31,1：男,43：熊本県,1
ミャンマー,技能実習２号ロ,20,1：男,43：熊本県,4
ミャンマー,技能実習２号ロ,20,2：女,43：熊本県,3
ミャンマー,技能実習２号ロ,21,1：男,43：熊本県,4
ミャンマー,技能実習２号ロ,21,2：女,43：熊本県,7
ミャンマー,技能実習２号ロ,22,1：男,43：熊本県,9
ミャンマー,技能実習２号ロ,22,2：女,43：熊本県,7
ミャンマー,技能実習２号ロ,23,1：男,43：熊本県,8
ミャンマー,技能実習２号ロ,23,2：女,43：熊本県,3
ミャンマー,技能実習２号ロ,24,1：男,43：熊本県,8
ミャンマー,技能実習２号ロ,24,2：女,43：熊本県,15
ミャンマー,技能実習２号ロ,25,1：男,43：熊本県,5
ミャンマー,技能実習２号ロ,25,2：女,43：熊本県,13
ミャンマー,技能実習２号ロ,26,1：男,43：熊本県,5
ミャンマー,技能実習２号ロ,26,2：女,43：熊本県,8
ミャンマー,技能実習２号ロ,27,1：男,43：熊本県,12
ミャンマー,技能実習２号ロ,27,2：女,43：熊本県,7
ミャンマー,技能実習２号ロ,28,1：男,43：熊本県,7
ミャンマー,技能実習２号ロ,28,2：女,43：熊本県,8
ミャンマー,技能実習２号ロ,29,1：男,43：熊本県,7
ミャンマー,技能実習２号ロ,29,2：女,43：熊本県,8
ミャンマー,技能実習２号ロ,30,1：男,43：熊本県,3
ミャンマー,技能実習２号ロ,30,2：女,43：熊本県,2
ミャンマー,技能実習２号ロ,31,1：男,43：熊本県,6
ミャンマー,技能実習２号ロ,31,2：女,43：熊本県,4
ミャンマー,技能実習２号ロ,32,1：男,43：熊本県,2
ミャンマー,技能実習２号ロ,32,2：女,43：熊本県,1
ミャンマー,技能実習２号ロ,33,1：男,43：熊本県,1
ミャンマー,技能実習２号ロ,33,2：女,43：熊本県,4
ミャンマー,技能実習２号ロ,34,1：男,43：熊本県,1
ミャンマー,技能実習２号ロ,34,2：女,43：熊本県,1
ミャンマー,技能実習２号ロ,35,2：女,43：熊本県,3
ミャンマー,技能実習２号ロ,36,1：男,43：熊本県,2
ミャンマー,技能実習２号ロ,36,2：女,43：熊本県,2
ミャンマー,技能実習２号ロ,37,1：男,43：熊本県,2
ミャンマー,技能実習２号ロ,37,2：女,43：熊本県,4
ミャンマー,技能実習２号ロ,39,2：女,43：熊本県,3
ミャンマー,技能実習３号ロ,22,1：男,43：熊本県,1
ミャンマー,技能実習３号ロ,23,2：女,43：熊本県,2
ミャンマー,技能実習３号ロ,24,1：男,43：熊本県,1
ミャンマー,技能実習３号ロ,24,2：女,43：熊本県,3
ミャンマー,技能実習３号ロ,25,2：女,43：熊本県,3
ミャンマー,技能実習３号ロ,26,1：男,43：熊本県,1
ミャンマー,技能実習３号ロ,26,2：女,43：熊本県,1
ミャンマー,技能実習３号ロ,28,2：女,43：熊本県,2
ミャンマー,技能実習３号ロ,29,2：女,43：熊本県,2
ミャンマー,技能実習３号ロ,30,1：男,43：熊本県,1
ミャンマー,技能実習３号ロ,30,2：女,43：熊本県,1
ミャンマー,技能実習３号ロ,32,2：女,43：熊本県,1
ミャンマー,技能実習３号ロ,33,1：男,43：熊本県,1
ミャンマー,技能実習３号ロ,33,2：女,43：熊本県,3
ミャンマー,技能実習３号ロ,36,2：女,43：熊本県,1
ミャンマー,技能実習３号ロ,38,1：男,43：熊本県,1
ミャンマー,技能実習３号ロ,38,2：女,43：熊本県,1
ミャンマー,技能実習３号ロ,39,1：男,43：熊本県,1
ミャンマー,技能実習３号ロ,39,2：女,43：熊本県,1
ミャンマー,技能実習３号ロ,40,2：女,43：熊本県,1
ミャンマー,留学,28,1：男,43：熊本県,1
ミャンマー,留学,29,2：女,43：熊本県,1
ミャンマー,留学,30,1：男,43：熊本県,1
ミャンマー,留学,31,1：男,43：熊本県,1
ミャンマー,留学,34,1：男,43：熊本県,1
ミャンマー,留学,43,1：男,43：熊本県,1
ミャンマー,家族滞在,35,2：女,43：熊本県,1
ミャンマー,家族滞在,38,2：女,43：熊本県,1
ミャンマー,特定活動,21,1：男,43：熊本県,1
ミャンマー,特定活動,22,1：男,43：熊本県,1
ミャンマー,特定活動,23,2：女,43：熊本県,2
ミャンマー,特定活動,25,1：男,43：熊本県,2
ミャンマー,特定活動,25,2：女,43：熊本県,3
ミャンマー,特定活動,26,1：男,43：熊本県,3
ミャンマー,特定活動,27,1：男,43：熊本県,5
ミャンマー,特定活動,27,2：女,43：熊本県,2
ミャンマー,特定活動,28,1：男,43：熊本県,4
ミャンマー,特定活動,29,2：女,43：熊本県,3
ミャンマー,特定活動,30,1：男,43：熊本県,5
ミャンマー,特定活動,30,2：女,43：熊本県,3
ミャンマー,特定活動,31,1：男,43：熊本県,2
ミャンマー,特定活動,32,1：男,43：熊本県,1
ミャンマー,特定活動,32,2：女,43：熊本県,1
ミャンマー,特定活動,34,1：男,43：熊本県,2
ミャンマー,特定活動,35,1：男,43：熊本県,1
ミャンマー,特定活動,37,1：男,43：熊本県,1
ミャンマー,永住者,10,1：男,43：熊本県,1
ミャンマー,永住者,33,1：男,43：熊本県,1
ミャンマー,永住者,36,2：女,43：熊本県,1
ミャンマー,永住者,39,1：男,43：熊本県,2
ミャンマー,永住者,48,2：女,43：熊本県,1
ミャンマー,永住者,52,1：男,43：熊本県,1
ミャンマー,永住者,73,2：女,43：熊本県,1
ミャンマー,日本人の配偶者等,23,2：女,43：熊本県,1
ミャンマー,日本人の配偶者等,26,2：女,43：熊本県,1
ミャンマー,日本人の配偶者等,44,2：女,43：熊本県,1
ミャンマー,日本人の配偶者等,48,2：女,43：熊本県,1
ミャンマー,日本人の配偶者等,52,2：女,43：熊本県,1
ミャンマー,日本人の配偶者等,66,2：女,43：熊本県,1
ブータン,永住者,36,1：男,43：熊本県,1
ブータン,永住者,60,2：女,43：熊本県,1
バングラデシュ,教授,32,2：女,43：熊本県,1
バングラデシュ,教授,35,1：男,43：熊本県,1
バングラデシュ,教授,36,1：男,43：熊本県,3
バングラデシュ,教授,37,1：男,43：熊本県,1
バングラデシュ,研究,33,1：男,43：熊本県,1
バングラデシュ,教育,43,1：男,43：熊本県,1
バングラデシュ,技術・人文知識・国際業務,24,1：男,43：熊本県,1
バングラデシュ,技術・人文知識・国際業務,26,1：男,43：熊本県,1
バングラデシュ,技術・人文知識・国際業務,28,1：男,43：熊本県,2
バングラデシュ,技術・人文知識・国際業務,30,1：男,43：熊本県,1
バングラデシュ,技術・人文知識・国際業務,31,1：男,43：熊本県,1
バングラデシュ,技術・人文知識・国際業務,33,1：男,43：熊本県,1
バングラデシュ,技能実習２号ロ,22,1：男,43：熊本県,2
バングラデシュ,技能実習２号ロ,24,1：男,43：熊本県,1
バングラデシュ,技能実習２号ロ,25,1：男,43：熊本県,1
バングラデシュ,技能実習２号ロ,27,1：男,43：熊本県,4
バングラデシュ,技能実習２号ロ,28,1：男,43：熊本県,4
バングラデシュ,技能実習２号ロ,29,1：男,43：熊本県,1
バングラデシュ,文化活動,35,2：女,43：熊本県,1
バングラデシュ,留学,21,1：男,43：熊本県,1
バングラデシュ,留学,22,1：男,43：熊本県,4
バングラデシュ,留学,23,1：男,43：熊本県,2
バングラデシュ,留学,24,1：男,43：熊本県,4
バングラデシュ,留学,25,1：男,43：熊本県,2
バングラデシュ,留学,26,1：男,43：熊本県,1
バングラデシュ,留学,26,2：女,43：熊本県,1
バングラデシュ,留学,27,1：男,43：熊本県,2
バングラデシュ,留学,28,1：男,43：熊本県,1
バングラデシュ,留学,29,1：男,43：熊本県,1
バングラデシュ,留学,30,1：男,43：熊本県,1
バングラデシュ,留学,32,1：男,43：熊本県,1
バングラデシュ,留学,33,1：男,43：熊本県,2
バングラデシュ,留学,33,2：女,43：熊本県,1
バングラデシュ,留学,34,1：男,43：熊本県,1
バングラデシュ,留学,34,2：女,43：熊本県,2
バングラデシュ,留学,36,1：男,43：熊本県,1
バングラデシュ,留学,37,1：男,43：熊本県,1
バングラデシュ,留学,42,1：男,43：熊本県,1
バングラデシュ,家族滞在,0,1：男,43：熊本県,1
バングラデシュ,家族滞在,0,2：女,43：熊本県,2
バングラデシュ,家族滞在,1,1：男,43：熊本県,3
バングラデシュ,家族滞在,1,2：女,43：熊本県,1
バングラデシュ,家族滞在,2,1：男,43：熊本県,1
バングラデシュ,家族滞在,3,2：女,43：熊本県,2
バングラデシュ,家族滞在,4,1：男,43：熊本県,1
バングラデシュ,家族滞在,4,2：女,43：熊本県,1
バングラデシュ,家族滞在,5,1：男,43：熊本県,1
バングラデシュ,家族滞在,5,2：女,43：熊本県,1
バングラデシュ,家族滞在,13,1：男,43：熊本県,1
バングラデシュ,家族滞在,23,2：女,43：熊本県,1
バングラデシュ,家族滞在,27,2：女,43：熊本県,1
バングラデシュ,家族滞在,28,2：女,43：熊本県,1
バングラデシュ,家族滞在,30,2：女,43：熊本県,1
バングラデシュ,家族滞在,31,2：女,43：熊本県,2
バングラデシュ,家族滞在,33,2：女,43：熊本県,2
バングラデシュ,家族滞在,38,1：男,43：熊本県,1
バングラデシュ,家族滞在,39,2：女,43：熊本県,1
バングラデシュ,家族滞在,41,2：女,43：熊本県,1
バングラデシュ,特定活動,28,1：男,43：熊本県,1
バングラデシュ,特定活動,30,1：男,43：熊本県,1
バングラデシュ,特定活動,47,2：女,43：熊本県,1
バングラデシュ,永住者,5,2：女,43：熊本県,1
バングラデシュ,永住者,10,1：男,43：熊本県,1
バングラデシュ,永住者,31,2：女,43：熊本県,1
バングラデシュ,永住者,43,1：男,43：熊本県,1
カンボジア,技術・人文知識・国際業務,24,2：女,43：熊本県,1
カンボジア,技術・人文知識・国際業務,25,1：男,43：熊本県,2
カンボジア,技術・人文知識・国際業務,26,1：男,43：熊本県,2
カンボジア,技術・人文知識・国際業務,26,2：女,43：熊本県,1
カンボジア,技術・人文知識・国際業務,27,1：男,43：熊本県,1
カンボジア,技術・人文知識・国際業務,27,2：女,43：熊本県,1
カンボジア,技術・人文知識・国際業務,29,1：男,43：熊本県,1
カンボジア,技術・人文知識・国際業務,35,1：男,43：熊本県,1
カンボジア,介護,24,2：女,43：熊本県,1
カンボジア,介護,26,2：女,43：熊本県,2
カンボジア,介護,27,2：女,43：熊本県,2
カンボジア,介護,28,2：女,43：熊本県,4
カンボジア,介護,33,2：女,43：熊本県,1
カンボジア,特定技能１号,22,2：女,43：熊本県,2
カンボジア,特定技能１号,23,1：男,43：熊本県,1
カンボジア,特定技能１号,23,2：女,43：熊本県,4
カンボジア,特定技能１号,24,2：女,43：熊本県,7
カンボジア,特定技能１号,25,2：女,43：熊本県,5
カンボジア,特定技能１号,26,1：男,43：熊本県,2
カンボジア,特定技能１号,26,2：女,43：熊本県,5
カンボジア,特定技能１号,27,1：男,43：熊本県,2
カンボジア,特定技能１号,27,2：女,43：熊本県,9
カンボジア,特定技能１号,28,1：男,43：熊本県,3
カンボジア,特定技能１号,28,2：女,43：熊本県,8
カンボジア,特定技能１号,29,2：女,43：熊本県,5
カンボジア,特定技能１号,30,1：男,43：熊本県,2
カンボジア,特定技能１号,30,2：女,43：熊本県,4
カンボジア,特定技能１号,31,1：男,43：熊本県,5
カンボジア,特定技能１号,31,2：女,43：熊本県,2
カンボジア,特定技能１号,32,2：女,43：熊本県,1
カンボジア,特定技能１号,33,2：女,43：熊本県,1
カンボジア,特定技能１号,34,1：男,43：熊本県,1
カンボジア,特定技能１号,34,2：女,43：熊本県,1
カンボジア,特定技能１号,35,2：女,43：熊本県,2
カンボジア,特定技能１号,36,2：女,43：熊本県,1
カンボジア,特定技能１号,40,2：女,43：熊本県,2
