国籍・地域,在留資格,年齢,性別,都道府県,在留外国人数
アフガニスタン,34：特定活動,00歳,1:男,43：熊本県,1
アフガニスタン,34：特定活動,01歳,1:男,43：熊本県,1
アフガニスタン,33：家族滞在,02歳,1:男,43：熊本県,1
アフガニスタン,33：家族滞在,04歳,1:男,43：熊本県,1
アフガニスタン,34：特定活動,04歳,1:男,43：熊本県,1
アフガニスタン,34：特定活動,07歳,1:男,43：熊本県,1
アフガニスタン,33：家族滞在,08歳,1:男,43：熊本県,1
アフガニスタン,33：家族滞在,10歳,1:男,43：熊本県,1
アフガニスタン,33：家族滞在,17歳,1:男,43：熊本県,1
アフガニスタン,31：留学,31歳,1:男,43：熊本県,2
アフガニスタン,03：教授,33歳,1:男,43：熊本県,1
アフガニスタン,31：留学,33歳,1:男,43：熊本県,4
アフガニスタン,34：特定活動,35歳,1:男,43：熊本県,2
アフガニスタン,31：留学,36歳,1:男,43：熊本県,1
アフガニスタン,34：特定活動,38歳,1:男,43：熊本県,1
アフガニスタン,16：技術・人文知識・国際業務,39歳,1:男,43：熊本県,1
アフガニスタン,16：技術・人文知識・国際業務,50歳,1:男,43：熊本県,1
アフガニスタン,35：永住者,68歳,1:男,43：熊本県,1
アフガニスタン,33：家族滞在,01歳,2:女,43：熊本県,1
アフガニスタン,33：家族滞在,03歳,2:女,43：熊本県,1
アフガニスタン,33：家族滞在,05歳,2:女,43：熊本県,1
アフガニスタン,33：家族滞在,06歳,2:女,43：熊本県,1
アフガニスタン,33：家族滞在,07歳,2:女,43：熊本県,1
アフガニスタン,34：特定活動,09歳,2:女,43：熊本県,1
アフガニスタン,33：家族滞在,16歳,2:女,43：熊本県,1
アフガニスタン,33：家族滞在,17歳,2:女,43：熊本県,1
アフガニスタン,33：家族滞在,25歳,2:女,43：熊本県,1
アフガニスタン,33：家族滞在,27歳,2:女,43：熊本県,1
アフガニスタン,31：留学,31歳,2:女,43：熊本県,1
アフガニスタン,33：家族滞在,31歳,2:女,43：熊本県,2
アフガニスタン,34：特定活動,33歳,2:女,43：熊本県,1
アフガニスタン,33：家族滞在,34歳,2:女,43：熊本県,1
アラブ首長国連邦,31：留学,23歳,1:男,43：熊本県,1
イスラエル,36：日本人の配偶者等,31歳,1:男,43：熊本県,1
イスラエル,35：永住者,64歳,1:男,43：熊本県,1
イスラエル,36：日本人の配偶者等,26歳,2:女,43：熊本県,1
イラン,31：留学,26歳,1:男,43：熊本県,1
イラン,03：教授,37歳,1:男,43：熊本県,1
イラン,31：留学,24歳,2:女,43：熊本県,1
イラン,31：留学,43歳,2:女,43：熊本県,1
インド,35：永住者,14歳,1:男,43：熊本県,1
インド,31：留学,21歳,1:男,43：熊本県,2
インド,24：技能実習１号ロ,22歳,1:男,43：熊本県,2
インド,31：留学,23歳,1:男,43：熊本県,1
インド,16：技術・人文知識・国際業務,24歳,1:男,43：熊本県,1
インド,26：技能実習２号ロ,24歳,1:男,43：熊本県,1
インド,16：技術・人文知識・国際業務,25歳,1:男,43：熊本県,3
インド,16：技術・人文知識・国際業務,26歳,1:男,43：熊本県,2
インド,16：技術・人文知識・国際業務,27歳,1:男,43：熊本県,1
インド,24：技能実習１号ロ,27歳,1:男,43：熊本県,1
インド,26：技能実習２号ロ,27歳,1:男,43：熊本県,1
インド,16：技術・人文知識・国際業務,28歳,1:男,43：熊本県,3
インド,20：技能,29歳,1:男,43：熊本県,2
インド,16：技術・人文知識・国際業務,30歳,1:男,43：熊本県,1
インド,20：技能,30歳,1:男,43：熊本県,1
インド,20：技能,32歳,1:男,43：熊本県,2
インド,20：技能,33歳,1:男,43：熊本県,1
インド,36：日本人の配偶者等,33歳,1:男,43：熊本県,1
インド,03：教授,34歳,1:男,43：熊本県,1
インド,20：技能,34歳,1:男,43：熊本県,1
インド,16：技術・人文知識・国際業務,35歳,1:男,43：熊本県,1
インド,20：技能,35歳,1:男,43：熊本県,3
インド,20：技能,36歳,1:男,43：熊本県,3
インド,20：技能,37歳,1:男,43：熊本県,3
インド,20：技能,38歳,1:男,43：熊本県,2
