市区町村コード,都道府県,市区町村,年齢（５歳階級）,性別,国籍・地域,在留資格,在留外国人数
,,,,,中国,留学,9
,,,,,,家族滞在,2
,,,,,,永住者,8
,,,,,,定住者,3
,,,,,ネパール,特定技能１号,1
,,,,,,留学,9
,,,,,フィリピン,家族滞在,2
,,,,,,永住者,1
,,,,,,定住者,1
,,,,,ベトナム,技能実習１号ロ,6
,,,,,,技能実習２号ロ,2
,,,,,,留学,3
,,,,,ミャンマー,特定技能１号,1
,,,,,,技能実習１号ロ,1
,,,,,,留学,1
,,,,,ルーマニア,永住者,1
,,,,,ケニア,特定活動,1
,,,,,セネガル,留学,1
,,,,,ナイジェリア,留学,1
,,,,,米国,家族滞在,1
,,,,,,日本人の配偶者等,1
,,,,,オーストラリア,留学,1
,,,05_20～24歳,1:男,インド,技術・人文知識・国際業務,1
,,,,,インドネシア,技術・人文知識・国際業務,1
,,,,,,特定技能１号,9
,,,,,,技能実習１号ロ,19
,,,,,,技能実習２号ロ,24
,,,,,,留学,4
,,,,,韓国,技術・人文知識・国際業務,3
,,,,,,留学,15
,,,,,,永住者,8
,,,,,,定住者,1
,,,,,,特別永住者,2
,,,,,カンボジア,技能実習１号ロ,1
,,,,,,技能実習３号ロ,1
,,,,,スリランカ,特定技能１号,3
,,,,,,留学,8
,,,,,,特定活動,1
,,,,,タイ,留学,1
,,,,,台湾,技術・人文知識・国際業務,3
,,,,,,留学,4
,,,,,,特定活動,1
,,,,,,永住者,1
,,,,,中国,技術・人文知識・国際業務,3
,,,,,,企業内転勤,1
,,,,,,留学,148
,,,,,,特定活動,1
,,,,,,永住者,3
,,,,,,日本人の配偶者等,1
,,,,,,永住者の配偶者等,1
,,,,,,定住者,1
,,,,,トルコ,留学,2
,,,,,ネパール,技術・人文知識・国際業務,2
,,,,,,特定技能１号,3
,,,,,,留学,139
,,,,,,家族滞在,1
,,,,,パキスタン,留学,7
,,,,,バングラデシュ,技能実習１号ロ,2
,,,,,,技能実習２号ロ,1
,,,,,,留学,2
,,,,,フィリピン,定住者,3
,,,,,ベトナム,技術・人文知識・国際業務,2
,,,,,,特定技能１号,3
,,,,,,技能実習１号ロ,2
,,,,,,技能実習２号ロ,5
,,,,,,留学,6
,,,,,マレーシア,留学,6
,,,,,ミャンマー,特定技能１号,9
,,,,,,技能実習１号ロ,2
,,,,,,技能実習２号ロ,2
,,,,,,留学,3
,,,,,,特定活動,1
,,,,,アイルランド,教育,1
,,,,,英国,教育,1
,,,,,,留学,2
,,,,,カザフスタン,留学,1
,,,,,ドイツ,留学,2
,,,,,フランス,留学,12
,,,,,ロシア,技術・人文知識・国際業務,1
,,,,,,永住者,1
,,,,,カナダ,技術・人文知識・国際業務,1
,,,,,ドミニカ共和国,興行,1
,,,,,米国,宗教,1
,,,,,,教育,1
,,,,,,留学,1
,,,,,,永住者,1
,,,,,オーストラリア,教育,2
,,,,,,留学,1
,,,,,,特定活動,1
,,,,2:女,インド,技術・人文知識・国際業務,2
,,,,,インドネシア,特定技能１号,10
,,,,,,技能実習１号ロ,8
,,,,,,技能実習２号ロ,17
,,,,,,特定活動,1
,,,,,韓国,技術・人文知識・国際業務,2
,,,,,,留学,12
,,,,,,特別永住者,1
,,,,,スリランカ,技能実習２号ロ,3
,,,,,,留学,5
,,,,,,永住者,2
,,,,,タイ,技能実習１号ロ,1
,,,,,,留学,3
,,,,,台湾,技術・人文知識・国際業務,5
,,,,,,留学,5
,,,,,,特定活動,1
,,,,,中国,技術・人文知識・国際業務,1
,,,,,,留学,63
,,,,,,特定活動,1
,,,,,,永住者,6
,,,,,,定住者,2
,,,,,ネパール,技術・人文知識・国際業務,1
,,,,,,介護,1
,,,,,,特定技能１号,7
,,,,,,技能実習１号ロ,3
,,,,,,留学,138
,,,,,,家族滞在,8
,,,,,パキスタン,留学,1
,,,,,バングラデシュ,留学,2
,,,,,,家族滞在,1
,,,,,フィリピン,特定技能１号,4
,,,,,,技能実習１号ロ,1
,,,,,,技能実習２号ロ,2
,,,,,,留学,2
,,,,,,永住者,1
,,,,,,日本人の配偶者等,1
,,,,,,定住者,2
,,,,,ベトナム,技術・人文知識・国際業務,1
,,,,,,特定技能１号,10
,,,,,,技能実習１号ロ,8
,,,,,,技能実習２号ロ,15
,,,,,,留学,10
,,,,,,家族滞在,3
,,,,,,日本人の配偶者等,2
,,,,,マレーシア,留学,2
,,,,,ミャンマー,技術・人文知識・国際業務,1
,,,,,,特定技能１号,49
,,,,,,技能実習１号ロ,7
,,,,,,技能実習２号ロ,2
,,,,,,留学,3
,,,,,,特定活動,4
,,,,,モンゴル,留学,2
,,,,,アゼルバイジャン,留学,1
,,,,,スイス,留学,1
,,,,,フランス,留学,4
,,,,,ブルガリア,留学,1
,,,,,ルーマニア,永住者,1
,,,,,ケニア,家族滞在,1
,,,,,タンザニア,家族滞在,1
,,,,,チュニジア,留学,1
,,,,,マラウイ,留学,1
,,,,,カナダ,教育,1
,,,,,米国,教育,1
,,,,,,永住者,1
,,,,,メキシコ,留学,1
,,,06_25～29歳,1:男,イラン,留学,1
,,,,,インド,技術・人文知識・国際業務,5
,,,,,,留学,2
,,,,,インドネシア,技術・人文知識・国際業務,5
,,,,,,特定技能１号,13
,,,,,,技能実習１号ロ,8
,,,,,,技能実習２号ロ,13
,,,,,,留学,12
,,,,,,永住者,1
,,,,,韓国,技術・人文知識・国際業務,19
,,,,,,留学,7
,,,,,,日本人の配偶者等,2
,,,,,,特別永住者,1
,,,,,カンボジア,技能実習１号ロ,1
,,,,,,技能実習３号ロ,3
,,,,,スリランカ,技術・人文知識・国際業務,3
,,,,,,留学,1
,,,,,タイ,留学,3
,,,,,台湾,高度専門職１号ロ,3
,,,,,,技術・人文知識・国際業務,25
,,,,,,企業内転勤,9
,,,,,,留学,3
,,,,,,特定活動,1
,,,,,,永住者,1
,,,,,中国,教授,2
,,,,,,高度専門職１号ロ,1
,,,,,,技術・人文知識・国際業務,21
,,,,,,留学,107
,,,,,,家族滞在,1
,,,,,,特定活動,4
,,,,,,永住者,12
,,,,,,定住者,1
,,,,,トルコ,留学,1
,,,,,ネパール,技術・人文知識・国際業務,36
,,,,,,技能,1
,,,,,,特定技能１号,9
,,,,,,留学,59
,,,,,,家族滞在,4
,,,,,パキスタン,技術・人文知識・国際業務,1
,,,,,,留学,3
,,,,,バングラデシュ,技術・人文知識・国際業務,1
,,,,,,特定技能１号,1
,,,,,,技能実習２号ロ,4
,,,,,,留学,7
,,,,,フィリピン,特定技能１号,1
,,,,,,技能実習１号ロ,3
,,,,,,永住者,1
,,,,,,定住者,1
,,,,,ベトナム,経営・管理,1
,,,,,,技術・人文知識・国際業務,13
,,,,,,介護,1
,,,,,,特定技能１号,21
,,,,,,技能実習１号ロ,1
,,,,,,技能実習２号ロ,8
,,,,,,技能実習３号ロ,3
,,,,,,留学,2
,,,,,,特定活動,1
,,,,,,日本人の配偶者等,1
,,,,,ミャンマー,技術・人文知識・国際業務,3
,,,,,,特定技能１号,1
,,,,,,技能実習２号ロ,2
,,,,,,留学,4
,,,,,,特定活動,4
,,,,,モンゴル,留学,1
,,,,,英国,教育,2
,,,,,,日本人の配偶者等,1
,,,,,北マケドニア,留学,1
,,,,,スイス,留学,1
,,,,,チェコ,留学,1
,,,,,デンマーク,留学,1
,,,,,フランス,留学,1
,,,,,,日本人の配偶者等,1
,,,,,ポーランド,特定活動,1
,,,,,マルタ,留学,1
,,,,,ガーナ,留学,1
,,,,,ケニア,留学,2
,,,,,トーゴ,留学,1
,,,,,ナイジェリア,留学,2
,,,,,モザンビーク,留学,1
,,,,,カナダ,教育,1
,,,,,,技術・人文知識・国際業務,1
,,,,,米国,教育,3
,,,,,,興行,1
,,,,,,文化活動,1
,,,,,ブラジル,留学,1
,,,,,,永住者,1
,,,,,ニュージーランド,教育,1
,,,,2:女,アフガニスタン,教育,1
,,,,,イラン,留学,2
,,,,,インドネシア,教授,1
,,,,,,技術・人文知識・国際業務,1
,,,,,,特定技能１号,10
,,,,,,技能実習１号ロ,2
,,,,,,技能実習２号ロ,6
,,,,,,留学,3
,,,,,,家族滞在,1
,,,,,韓国,技術・人文知識・国際業務,10
,,,,,,永住者,3
,,,,,,特別永住者,3
,,,,,シンガポール,教育,1
,,,,,スリランカ,特定技能１号,3
,,,,,,技能実習２号ロ,1
,,,,,,留学,1
,,,,,,家族滞在,3
,,,,,タイ,教授,1
,,,,,,技術・人文知識・国際業務,2
,,,,,,技能実習１号ロ,2
,,,,,台湾,技術・人文知識・国際業務,28
,,,,,,企業内転勤,3
,,,,,,特定技能１号,1
,,,,,,留学,2
,,,,,,家族滞在,4
,,,,,中国,宗教,1
,,,,,,高度専門職１号ロ,3
,,,,,,技術・人文知識・国際業務,13
,,,,,,介護,1
,,,,,,留学,60
,,,,,,家族滞在,3
,,,,,,特定活動,3
,,,,,,永住者,11
,,,,,,永住者の配偶者等,1
,,,,,ネパール,技術・人文知識・国際業務,16
,,,,,,介護,6
,,,,,,特定技能１号,3
,,,,,,技能実習１号ロ,3
,,,,,,留学,45
,,,,,,家族滞在,18
,,,,,,日本人の配偶者等,1
,,,,,バングラデシュ,留学,1
,,,,,,家族滞在,2
,,,,,フィリピン,教育,1
,,,,,,技術・人文知識・国際業務,1
,,,,,,特定技能１号,1
,,,,,,特定技能２号,1
,,,,,,技能実習１号ロ,1
,,,,,,技能実習２号ロ,8
,,,,,,留学,1
,,,,,ベトナム,技術・人文知識・国際業務,6
,,,,,,介護,3
,,,,,,特定技能１号,12
,,,,,,技能実習２号ロ,8
,,,,,,技能実習３号ロ,3
,,,,,,家族滞在,4
,,,,,,日本人の配偶者等,1
,,,,,マレーシア,留学,2
,,,,,ミャンマー,技術・人文知識・国際業務,12
,,,,,,特定技能１号,18
,,,,,,技能実習１号ロ,3
,,,,,,技能実習２号ロ,7
,,,,,,留学,5
,,,,,,特定活動,3
,,,,,モンゴル,家族滞在,1
,,,,,,定住者,1
,,,,,ウクライナ,定住者,1
,,,,,英国,教育,1
,,,,,,特定活動,1
,,,,,チェコ,留学,2
,,,,,アンゴラ,留学,1
,,,,,エジプト,家族滞在,1
,,,,,ケニア,家族滞在,1
,,,,,スーダン,家族滞在,1
,,,,,セネガル,留学,1
,,,,,タンザニア,留学,3
,,,,,,家族滞在,1
,,,,,南アフリカ共和国,技術・人文知識・国際業務,1
,,,,,米国,教育,3
,,,,,,技術・人文知識・国際業務,2
,,,,,,家族滞在,1
,,,,,,日本人の配偶者等,3
,,,,,メキシコ,日本人の配偶者等,1
,,,,,ブラジル,留学,1
,,,,,,家族滞在,1
,,,,,,永住者,1
,,,,,ニュージーランド,教育,1
,,,07_30～34歳,1:男,アフガニスタン,技術・人文知識・国際業務,1
,,,,,インド,技術・人文知識・国際業務,1
,,,,,インドネシア,技術・人文知識・国際業務,3
,,,,,,特定技能１号,1
,,,,,,技能実習２号ロ,3
,,,,,,留学,9
,,,,,,家族滞在,1
,,,,,韓国,技術・人文知識・国際業務,23
,,,,,,文化活動,1
,,,,,,留学,3
,,,,,,特定活動,1
,,,,,,永住者,2
,,,,,,日本人の配偶者等,2
,,,,,,特別永住者,5
