都道府県,市区町村,国籍・地域,在留資格,年齢（５歳階級）,性別,在留外国人数
43：熊本県,熊本市中央区,01_001：アフガニスタン,15：教育,06_25～29歳,2:女,1 
,,,16：技術・人文知識・国際業務,07_30～34歳,1:男,1 
,,,33：家族滞在,01_０～４歳,2:女,1 
,,,34：特定活動,01_０～４歳,2:女,3 
,,,,07_30～34歳,2:女,1 
,,,,08_35～39歳,1:男,1 
,,,38：定住者,01_０～４歳,1:男,1 
,,,,07_30～34歳,2:女,1 
,,,,08_35～39歳,1:男,1 
,,01_003：イエメン,31：留学,05_20～24歳,1:男,1 
,,01_006：イラン,31：留学,06_25～29歳,1:男,1 
,,,,,2:女,2 
,,,38：定住者,11_50～54歳,1:男,1 
,,01_007：インド,03：教授,07_30～34歳,1:男,1 
,,,,08_35～39歳,1:男,1 
,,,,,2:女,1 
,,,,09_40～44歳,1:男,1 
,,,,10_45～49歳,1:男,1 
,,,16：技術・人文知識・国際業務,05_20～24歳,1:男,4 
,,,,,2:女,2 
,,,,06_25～29歳,1:男,4 
,,,,07_30～34歳,1:男,2 
,,,20：技能,09_40～44歳,1:男,1 
,,,,10_45～49歳,1:男,3 
,,,,11_50～54歳,1:男,1 
,,,,12_55～59歳,1:男,1 
,,,31：留学,05_20～24歳,1:男,1 
,,,,06_25～29歳,1:男,2 
,,,,,2:女,4 
,,,,07_30～34歳,2:女,2 
,,,,08_35～39歳,1:男,1 
,,,33：家族滞在,01_０～４歳,1:男,1 
,,,,07_30～34歳,2:女,2 
,,,,10_45～49歳,2:女,1 
,,,35：永住者,08_35～39歳,1:男,1 
,,,,10_45～49歳,1:男,1 
,,,,12_55～59歳,1:男,1 
,,01_008：インドネシア,03：教授,07_30～34歳,1:男,1 
,,,,,2:女,1 
,,,,08_35～39歳,2:女,1 
,,,08：高度専門職１号ロ,06_25～29歳,1:男,1 
,,,16：技術・人文知識・国際業務,06_25～29歳,1:男,3 
,,,,,2:女,1 
,,,,07_30～34歳,1:男,4 
,,,,,2:女,1 
,,,,09_40～44歳,2:女,1 
,,,,10_45～49歳,2:女,1 
,,,,11_50～54歳,2:女,1 
,,,21：特定技能１号,04_15～19歳,2:女,5 
,,,,05_20～24歳,1:男,7 
,,,,,2:女,21 
,,,,06_25～29歳,1:男,12 
,,,,,2:女,13 
,,,,07_30～34歳,1:男,5 
,,,,,2:女,1 
,,,,08_35～39歳,1:男,3 
,,,,,2:女,2 
,,,,09_40～44歳,1:男,1 
,,,24：技能実習１号ロ,04_15～19歳,1:男,3 
,,,,,2:女,2 
,,,,05_20～24歳,1:男,17 
,,,,,2:女,4 
,,,,06_25～29歳,1:男,8 
,,,,,2:女,1 
,,,26：技能実習２号ロ,04_15～19歳,1:男,1 
,,,,05_20～24歳,1:男,30 
,,,,,2:女,14 
,,,,06_25～29歳,1:男,9 
,,,,,2:女,4 
,,,,07_30～34歳,1:男,2 
,,,28：技能実習３号ロ,07_30～34歳,1:男,1 
,,,29：文化活動,07_30～34歳,2:女,1 
,,,31：留学,04_15～19歳,1:男,1 
,,,,05_20～24歳,1:男,19 
,,,,,2:女,5 
,,,,06_25～29歳,1:男,11 
,,,,,2:女,5 
,,,,07_30～34歳,1:男,7 
,,,,,2:女,6 
,,,,08_35～39歳,1:男,3 
,,,,,2:女,5 
,,,33：家族滞在,01_０～４歳,1:男,1 
,,,,,2:女,2 
,,,,02_５～９歳,1:男,1 
,,,,03_10～14歳,2:女,1 
,,,,06_25～29歳,2:女,3 
,,,,07_30～34歳,1:男,1 
,,,,,2:女,1 
,,,,11_50～54歳,1:男,1 
,,,34：特定活動,05_20～24歳,1:男,2 
,,,,06_25～29歳,1:男,3 
,,,,07_30～34歳,2:女,1 
,,,35：永住者,06_25～29歳,1:男,1 
,,,,09_40～44歳,2:女,1 
,,,,10_45～49歳,2:女,1 
,,,,11_50～54歳,1:男,1 
,,,36：日本人の配偶者等,05_20～24歳,2:女,1 
,,,38：定住者,02_５～９歳,1:男,2 
,,01_011：韓国,03：教授,07_30～34歳,2:女,1 
,,,,10_45～49歳,1:男,1 
,,,05：宗教,08_35～39歳,1:男,1 
,,,,10_45～49歳,1:男,2 
,,,08：高度専門職１号ロ,08_35～39歳,1:男,1 
,,,,09_40～44歳,1:男,1 
,,,11：経営・管理,12_55～59歳,2:女,1 
,,,16：技術・人文知識・国際業務,05_20～24歳,1:男,3 
,,,,,2:女,2 
,,,,06_25～29歳,1:男,19 
,,,,,2:女,8 
,,,,07_30～34歳,1:男,25 
,,,,,2:女,2 
,,,,08_35～39歳,1:男,6 
,,,,09_40～44歳,1:男,3 
,,,,10_45～49歳,2:女,1 
,,,,11_50～54歳,1:男,1 
,,,,12_55～59歳,1:男,1 
,,,,13_60～64歳,1:男,1 
,,,17：企業内転勤,08_35～39歳,1:男,1 
,,,,09_40～44歳,1:男,3 
,,,,10_45～49歳,1:男,1 
,,,18：介護,08_35～39歳,2:女,1 
,,,29：文化活動,05_20～24歳,1:男,1 
,,,,,2:女,1 
,,,,07_30～34歳,1:男,1 
,,,,15_70～74歳,1:男,1 
,,,31：留学,04_15～19歳,1:男,1 
,,,,,2:女,1 
,,,,05_20～24歳,1:男,12 
,,,,,2:女,12 
,,,,06_25～29歳,1:男,8 
,,,,07_30～34歳,1:男,1 
,,,33：家族滞在,01_０～４歳,1:男,1 
,,,,,2:女,1 
,,,,02_５～９歳,1:男,1 
,,,,,2:女,1 
,,,,03_10～14歳,1:男,1 
,,,,04_15～19歳,2:女,2 
,,,,05_20～24歳,2:女,2 
,,,,08_35～39歳,2:女,1 
,,,,09_40～44歳,2:女,3 
,,,,10_45～49歳,2:女,1 
,,,,11_50～54歳,2:女,1 
,,,34：特定活動,04_15～19歳,1:男,1 
,,,,05_20～24歳,1:男,1 
,,,,,2:女,2 
,,,,06_25～29歳,1:男,1 
,,,,07_30～34歳,1:男,1 
,,,35：永住者,04_15～19歳,2:女,1 
,,,,05_20～24歳,1:男,7 
,,,,06_25～29歳,2:女,2 
,,,,07_30～34歳,1:男,2 
,,,,08_35～39歳,1:男,2 
,,,,09_40～44歳,1:男,5 
,,,,,2:女,2 
,,,,10_45～49歳,1:男,3 
,,,,,2:女,3 
,,,,11_50～54歳,1:男,5 
,,,,,2:女,5 
,,,,12_55～59歳,1:男,4 
,,,,,2:女,2 
,,,,13_60～64歳,2:女,7 
,,,,14_65～69歳,1:男,2 
,,,,,2:女,10 
,,,,15_70～74歳,1:男,1 
,,,,16_75～79歳,2:女,4 
,,,36：日本人の配偶者等,06_25～29歳,1:男,2 
,,,,07_30～34歳,1:男,2 
,,,,,2:女,2 
,,,,08_35～39歳,1:男,1 
,,,,09_40～44歳,1:男,1 
,,,,,2:女,1 
,,,,10_45～49歳,1:男,1 
,,,,11_50～54歳,2:女,1 
,,,,14_65～69歳,2:女,1 
,,,,15_70～74歳,2:女,2 
,,,38：定住者,02_５～９歳,2:女,1 
,,,,03_10～14歳,1:男,1 
,,,,05_20～24歳,1:男,1 
,,,,09_40～44歳,1:男,1 
,,,,10_45～49歳,1:男,1 
,,,,14_65～69歳,2:女,2 
,,,,15_70～74歳,2:女,1 
,,,,17_80歳以上,2:女,2 
,,,39：特別永住者,01_０～４歳,1:男,1 
,,,,,2:女,2 
,,,,02_５～９歳,2:女,1 
,,,,04_15～19歳,1:男,1 
,,,,05_20～24歳,1:男,2 
,,,,,2:女,1 
,,,,06_25～29歳,1:男,3 
,,,,,2:女,1 
,,,,07_30～34歳,1:男,4 
,,,,,2:女,3 
,,,,08_35～39歳,1:男,5 
,,,,,2:女,1 
,,,,09_40～44歳,1:男,1 
,,,,,2:女,5 
,,,,10_45～49歳,2:女,2 
,,,,11_50～54歳,1:男,3 
,,,,,2:女,3 
,,,,12_55～59歳,1:男,6 
,,,,,2:女,2 
,,,,13_60～64歳,1:男,4 
,,,,,2:女,5 
,,,,14_65～69歳,1:男,9 
,,,,,2:女,2 
,,,,15_70～74歳,1:男,3 
,,,,,2:女,5 
,,,,16_75～79歳,1:男,1 
,,,,,2:女,3 
,,,,17_80歳以上,1:男,2 
,,,,,2:女,9 
,,01_012：（朝鮮）,39：特別永住者,06_25～29歳,1:男,1 
,,,,07_30～34歳,2:女,1 
,,,,12_55～59歳,2:女,1 
,,,,13_60～64歳,1:男,1 
,,,,17_80歳以上,2:女,1 
,,01_014：カンボジア,26：技能実習２号ロ,05_20～24歳,1:男,1 
,,,,06_25～29歳,1:男,1 
,,,28：技能実習３号ロ,05_20～24歳,1:男,1 
,,,,06_25～29歳,1:男,3 
,,01_019：シンガポール,35：永住者,10_45～49歳,2:女,1 
,,,36：日本人の配偶者等,13_60～64歳,2:女,1 
,,01_020：スリランカ,16：技術・人文知識・国際業務,06_25～29歳,1:男,2 
,,,,07_30～34歳,1:男,2 
,,,,10_45～49歳,1:男,1 
,,,20：技能,07_30～34歳,1:男,1 
,,,,08_35～39歳,1:男,2 
,,,,09_40～44歳,1:男,3 
,,,,10_45～49歳,1:男,3 
,,,,11_50～54歳,1:男,7 
,,,21：特定技能１号,05_20～24歳,1:男,3 
,,,,06_25～29歳,1:男,3 
,,,,,2:女,3 
,,,,07_30～34歳,1:男,1 
,,,,,2:女,2 
,,,26：技能実習２号ロ,05_20～24歳,2:女,2 
,,,,06_25～29歳,2:女,1 
,,,31：留学,05_20～24歳,1:男,8 
,,,,,2:女,6 
,,,,06_25～29歳,1:男,3 
,,,,,2:女,1 
,,,,07_30～34歳,1:男,1 
,,,33：家族滞在,05_20～24歳,1:男,1 
,,,,06_25～29歳,2:女,2 
,,,,07_30～34歳,2:女,1 
,,,35：永住者,04_15～19歳,2:女,2 
,,,,05_20～24歳,2:女,2 
,,,,10_45～49歳,2:女,1 
,,,,11_50～54歳,2:女,1 
,,,,12_55～59歳,1:男,1 
,,,,14_65～69歳,1:男,2 
,,01_021：タイ,03：教授,06_25～29歳,2:女,1 
,,,11：経営・管理,11_50～54歳,1:男,1 
,,,16：技術・人文知識・国際業務,06_25～29歳,2:女,3 
,,,,07_30～34歳,1:男,1 
,,,,,2:女,2 
,,,,08_35～39歳,1:男,1 
,,,,,2:女,3 
,,,20：技能,09_40～44歳,2:女,1 
,,,24：技能実習１号ロ,05_20～24歳,2:女,1 
,,,,06_25～29歳,2:女,2 
,,,26：技能実習２号ロ,07_30～34歳,2:女,1 
,,,29：文化活動,07_30～34歳,1:男,1 
,,,31：留学,05_20～24歳,1:男,1 
,,,,,2:女,7 
,,,,06_25～29歳,1:男,2 
,,,,,2:女,2 
,,,,07_30～34歳,1:男,3 
,,,,,2:女,2 
,,,,08_35～39歳,1:男,1 
,,,,,2:女,1 
,,,35：永住者,08_35～39歳,2:女,1 
,,,,09_40～44歳,2:女,1 
,,,,10_45～49歳,2:女,2 
,,,,11_50～54歳,2:女,1 
,,,,13_60～64歳,2:女,1 
,,,36：日本人の配偶者等,08_35～39歳,2:女,1 
,,,,09_40～44歳,2:女,2 
,,,,11_50～54歳,1:男,1 
,,,,13_60～64歳,2:女,1 
,,,38：定住者,13_60～64歳,2:女,1 
,,01_022：台湾,03：教授,07_30～34歳,1:男,1 
,,,,,2:女,1 
,,,08：高度専門職１号ロ,06_25～29歳,1:男,2 
,,,,07_30～34歳,1:男,4 
,,,,,2:女,2 
,,,,08_35～39歳,1:男,5 
,,,,,2:女,4 
,,,,09_40～44歳,1:男,3 
,,,,,2:女,1 
,,,,10_45～49歳,2:女,1 
,,,,11_50～54歳,1:男,2 
,,,,,2:女,1 
,,,,12_55～59歳,1:男,4 
,,,09：高度専門職１号ハ,10_45～49歳,1:男,1 
,,,,11_50～54歳,1:男,2 
,,,11：経営・管理,08_35～39歳,1:男,1 
,,,,10_45～49歳,1:男,2 
,,,,11_50～54歳,1:男,2 
,,,,12_55～59歳,1:男,2 
,,,,,2:女,2 
,,,,14_65～69歳,1:男,1 
,,,15：教育,06_25～29歳,2:女,1 
,,,16：技術・人文知識・国際業務,05_20～24歳,1:男,1 
,,,,,2:女,5 
,,,,06_25～29歳,1:男,24 
,,,,,2:女,21 
,,,,07_30～34歳,1:男,25 
,,,,,2:女,24 
,,,,08_35～39歳,1:男,11 
,,,,,2:女,14 
,,,,09_40～44歳,1:男,3 
,,,,,2:女,11 
,,,,10_45～49歳,1:男,1 
,,,,,2:女,2 
,,,,11_50～54歳,1:男,3 
,,,,,2:女,2 
,,,,13_60～64歳,1:男,1 
,,,17：企業内転勤,06_25～29歳,1:男,5 
,,,,07_30～34歳,1:男,5 
,,,,,2:女,3 
,,,,08_35～39歳,1:男,1 
,,,,,2:女,3 
,,,,09_40～44歳,1:男,4 
,,,,10_45～49歳,1:男,1 
,,,,,2:女,1 
,,,,11_50～54歳,1:男,1 
,,,,12_55～59歳,2:女,1 
,,,21：特定技能１号,06_25～29歳,2:女,1 
,,,31：留学,04_15～19歳,1:男,2 
,,,,05_20～24歳,1:男,9 
,,,,,2:女,5 
,,,,06_25～29歳,1:男,3 
,,,,,2:女,3 
,,,,07_30～34歳,1:男,2 
,,,,,2:女,1 
,,,,09_40～44歳,1:男,1 
,,,,,2:女,1 
,,,,10_45～49歳,2:女,1 
,,,33：家族滞在,01_０～４歳,1:男,3 
,,,,,2:女,2 
,,,,02_５～９歳,1:男,1 
,,,,,2:女,4 
,,,,03_10～14歳,1:男,5 
,,,,,2:女,6 
,,,,04_15～19歳,1:男,2 
,,,,,2:女,1 
,,,,06_25～29歳,2:女,1 
,,,,07_30～34歳,2:女,7 
,,,,08_35～39歳,2:女,3 
,,,,09_40～44歳,1:男,1 
,,,,,2:女,3 
,,,,10_45～49歳,2:女,1 
,,,,11_50～54歳,1:男,1 
,,,,,2:女,3 
,,,,12_55～59歳,2:女,1 
,,,34：特定活動,05_20～24歳,2:女,2 
,,,,10_45～49歳,2:女,1 
,,,35：永住者,05_20～24歳,1:男,1 
,,,,07_30～34歳,1:男,5 
,,,,,2:女,5 
,,,,08_35～39歳,1:男,5 
,,,,,2:女,5 
,,,,09_40～44歳,1:男,5 
,,,,,2:女,5 
,,,,10_45～49歳,1:男,4 
,,,,,2:女,4 
,,,,11_50～54歳,1:男,3 
,,,,,2:女,2 
,,,,12_55～59歳,1:男,4 
,,,,,2:女,6 
,,,,13_60～64歳,1:男,1 
,,,,14_65～69歳,1:男,1 
,,,,,2:女,1 
,,,,17_80歳以上,2:女,1 
,,,36：日本人の配偶者等,07_30～34歳,1:男,1 
,,,,,2:女,2 
,,,,08_35～39歳,1:男,1 
,,,,09_40～44歳,1:男,1 
,,,,,2:女,3 
,,,,10_45～49歳,1:男,1 
,,,,11_50～54歳,2:女,3 
,,,,12_55～59歳,2:女,2 
,,,37：永住者の配偶者等,06_25～29歳,2:女,1 
,,,,07_30～34歳,2:女,1 
,,,,08_35～39歳,2:女,1 
,,,,09_40～44歳,2:女,3 
,,,,10_45～49歳,2:女,3 
,,,38：定住者,01_０～４歳,1:男,1 
,,,,,2:女,1 
,,,,02_５～９歳,1:男,2 
,,,,03_10～14歳,1:男,1 
,,,,,2:女,6 
,,,,04_15～19歳,1:男,1 
,,,,,2:女,1 
,,,,10_45～49歳,2:女,1 
,,01_023：中国,03：教授,06_25～29歳,1:男,1 
,,,,07_30～34歳,1:男,4 
,,,,,2:女,2 
,,,,09_40～44歳,1:男,1 
,,,,11_50～54歳,1:男,2 
,,,,13_60～64歳,1:男,1 
,,,05：宗教,05_20～24歳,2:女,1 
,,,,06_25～29歳,2:女,1 
,,,,09_40～44歳,2:女,1 
,,,07：高度専門職１号イ,07_30～34歳,1:男,3 
,,,,,2:女,1 
,,,,08_35～39歳,1:男,2 
,,,,,2:女,1 
,,,08：高度専門職１号ロ,06_25～29歳,1:男,1 
,,,,,2:女,3 
,,,,07_30～34歳,2:女,1 
,,,,08_35～39歳,1:男,1 
,,,,10_45～49歳,1:男,1 
,,,,11_50～54歳,1:男,1 
,,,09：高度専門職１号ハ,09_40～44歳,2:女,1 
,,,10：高度専門職２号,08_35～39歳,1:男,1 
,,,11：経営・管理,07_30～34歳,2:女,1 
,,,,08_35～39歳,1:男,1 
,,,,09_40～44歳,1:男,1 
,,,,,2:女,1 
,,,,10_45～49歳,1:男,1 
,,,,,2:女,1 
,,,,12_55～59歳,1:男,2 
,,,,13_60～64歳,1:男,1 
,,,,15_70～74歳,1:男,1 
,,,16：技術・人文知識・国際業務,05_20～24歳,1:男,2 
,,,,,2:女,1 
,,,,06_25～29歳,1:男,15 
,,,,,2:女,12 
,,,,07_30～34歳,1:男,15 
,,,,,2:女,13 
,,,,08_35～39歳,1:男,10 
,,,,,2:女,11 
,,,,09_40～44歳,1:男,5 
,,,,,2:女,3 
,,,,10_45～49歳,1:男,1 
,,,,,2:女,1 
,,,,11_50～54歳,1:男,2 
,,,,12_55～59歳,1:男,1 
,,,17：企業内転勤,07_30～34歳,2:女,1 
,,,,08_35～39歳,1:男,1 
,,,,11_50～54歳,1:男,1 
,,,18：介護,08_35～39歳,2:女,2 
,,,20：技能,07_30～34歳,1:男,1 
,,,,09_40～44歳,1:男,1 
,,,,10_45～49歳,1:男,2 
,,,,12_55～59歳,1:男,1 
,,,,13_60～64歳,1:男,1 
,,,21：特定技能１号,08_35～39歳,1:男,1 
,,,,09_40～44歳,1:男,2 
,,,,10_45～49歳,1:男,1 
,,,,,2:女,3 
,,,22：特定技能２号,09_40～44歳,1:男,1 
,,,29：文化活動,07_30～34歳,1:男,2 
,,,,08_35～39歳,1:男,1 
,,,,,2:女,1 
,,,,09_40～44歳,2:女,1 
,,,31：留学,04_15～19歳,1:男,7 
,,,,,2:女,6 
,,,,05_20～24歳,1:男,151 
,,,,,2:女,71 
,,,,06_25～29歳,1:男,120 
