都道府県,市区町村,国籍・地域,在留資格,年齢（５歳階級）,性別,在留外国人数
,,,,,2:女,68 
,,,,07_30～34歳,1:男,21 
,,,,,2:女,11 
,,,,08_35～39歳,1:男,3 
,,,,,2:女,3 
,,,,09_40～44歳,1:男,1 
,,,,,2:女,2 
,,,,10_45～49歳,1:男,1 
,,,32：研修,06_25～29歳,1:男,1 
,,,33：家族滞在,01_０～４歳,1:男,1 
,,,,,2:女,1 
,,,,02_５～９歳,1:男,7 
,,,,,2:女,4 
,,,,03_10～14歳,1:男,5 
,,,,,2:女,4 
,,,,04_15～19歳,1:男,1 
,,,,,2:女,3 
,,,,06_25～29歳,1:男,1 
,,,,,2:女,3 
,,,,07_30～34歳,1:男,1 
,,,,08_35～39歳,1:男,5 
,,,,09_40～44歳,1:男,2 
,,,,,2:女,6 
,,,,10_45～49歳,2:女,2 
,,,,11_50～54歳,2:女,1 
,,,,12_55～59歳,2:女,2 
,,,,13_60～64歳,2:女,1 
,,,34：特定活動,05_20～24歳,1:男,2 
,,,,,2:女,1 
,,,,06_25～29歳,1:男,4 
,,,,,2:女,3 
,,,,07_30～34歳,2:女,1 
,,,,14_65～69歳,1:男,1 
,,,,,2:女,1 
,,,,15_70～74歳,2:女,1 
,,,,17_80歳以上,2:女,1 
,,,35：永住者,01_０～４歳,1:男,2 
,,,,,2:女,1 
,,,,02_５～９歳,1:男,9 
,,,,,2:女,4 
,,,,03_10～14歳,1:男,10 
,,,,,2:女,11 
,,,,04_15～19歳,1:男,6 
,,,,,2:女,8 
,,,,05_20～24歳,1:男,3 
,,,,,2:女,4 
,,,,06_25～29歳,1:男,10 
,,,,,2:女,9 
,,,,07_30～34歳,1:男,10 
,,,,,2:女,8 
,,,,08_35～39歳,1:男,13 
,,,,,2:女,13 
,,,,09_40～44歳,1:男,17 
,,,,,2:女,34 
,,,,10_45～49歳,1:男,5 
,,,,,2:女,43 
,,,,11_50～54歳,1:男,15 
,,,,,2:女,49 
,,,,12_55～59歳,1:男,8 
,,,,,2:女,22 
,,,,13_60～64歳,1:男,14 
,,,,,2:女,10 
,,,,14_65～69歳,1:男,8 
,,,,,2:女,7 
,,,,15_70～74歳,1:男,3 
,,,,,2:女,7 
,,,,16_75～79歳,1:男,7 
,,,,,2:女,6 
,,,,17_80歳以上,1:男,3 
,,,,,2:女,3 
,,,36：日本人の配偶者等,05_20～24歳,1:男,1 
,,,,07_30～34歳,2:女,1 
,,,,08_35～39歳,1:男,1 
,,,,09_40～44歳,1:男,1 
,,,,,2:女,4 
,,,,10_45～49歳,1:男,2 
,,,,,2:女,6 
,,,,11_50～54歳,2:女,4 
,,,,12_55～59歳,2:女,2 
,,,,13_60～64歳,2:女,1 
,,,,14_65～69歳,1:男,1 
,,,,17_80歳以上,1:男,1 
,,,37：永住者の配偶者等,01_０～４歳,1:男,2 
,,,,,2:女,1 
,,,,02_５～９歳,1:男,1 
,,,,05_20～24歳,1:男,1 
,,,,06_25～29歳,2:女,1 
,,,,07_30～34歳,2:女,2 
,,,,08_35～39歳,2:女,3 
,,,,09_40～44歳,1:男,2 
,,,,,2:女,3 
,,,,10_45～49歳,1:男,1 
,,,,11_50～54歳,2:女,1 
,,,,12_55～59歳,1:男,1 
,,,,,2:女,1 
,,,,16_75～79歳,1:男,1 
,,,38：定住者,01_０～４歳,1:男,1 
,,,,,2:女,2 
,,,,02_５～９歳,2:女,1 
,,,,03_10～14歳,1:男,3 
,,,,,2:女,2 
,,,,04_15～19歳,2:女,2 
,,,,05_20～24歳,1:男,1 
,,,,,2:女,2 
,,,,06_25～29歳,1:男,1 
,,,,08_35～39歳,2:女,1 
,,,,10_45～49歳,1:男,3 
,,,,,2:女,5 
,,,,12_55～59歳,2:女,1 
,,01_026：トルコ,15：教育,08_35～39歳,2:女,1 
,,,31：留学,06_25～29歳,1:男,1 
,,,36：日本人の配偶者等,10_45～49歳,1:男,1 
,,01_028：ネパール,11：経営・管理,07_30～34歳,1:男,1 
,,,,08_35～39歳,1:男,1 
,,,,09_40～44歳,1:男,2 
,,,16：技術・人文知識・国際業務,05_20～24歳,1:男,1 
,,,,,2:女,1 
,,,,06_25～29歳,1:男,28 
,,,,,2:女,14 
,,,,07_30～34歳,1:男,21 
,,,,,2:女,7 
,,,,08_35～39歳,1:男,6 
,,,,,2:女,2 
,,,,09_40～44歳,1:男,1 
,,,,,2:女,1 
,,,18：介護,05_20～24歳,2:女,1 
,,,,06_25～29歳,2:女,5 
,,,,07_30～34歳,2:女,3 
,,,,08_35～39歳,2:女,1 
,,,20：技能,06_25～29歳,1:男,2 
,,,,07_30～34歳,1:男,4 
,,,,08_35～39歳,1:男,10 
,,,,,2:女,1 
,,,,09_40～44歳,1:男,7 
,,,,10_45～49歳,1:男,2 
,,,,11_50～54歳,1:男,1 
,,,21：特定技能１号,05_20～24歳,1:男,9 
,,,,,2:女,12 
,,,,06_25～29歳,1:男,12 
,,,,,2:女,4 
,,,,07_30～34歳,1:男,6 
,,,,,2:女,4 
,,,,08_35～39歳,1:男,1 
,,,,,2:女,1 
,,,24：技能実習１号ロ,05_20～24歳,2:女,3 
,,,,06_25～29歳,2:女,2 
,,,,07_30～34歳,2:女,1 
,,,31：留学,04_15～19歳,1:男,3 
,,,,,2:女,11 
,,,,05_20～24歳,1:男,135 
,,,,,2:女,129 
,,,,06_25～29歳,1:男,71 
,,,,,2:女,60 
,,,,07_30～34歳,1:男,13 
,,,,,2:女,1 
,,,33：家族滞在,01_０～４歳,1:男,5 
,,,,,2:女,8 
,,,,02_５～９歳,1:男,3 
,,,,,2:女,2 
,,,,03_10～14歳,1:男,2 
,,,,,2:女,1 
,,,,04_15～19歳,2:女,1 
,,,,05_20～24歳,1:男,1 
,,,,,2:女,8 
,,,,06_25～29歳,1:男,4 
,,,,,2:女,18 
,,,,07_30～34歳,1:男,9 
,,,,,2:女,12 
,,,,08_35～39歳,1:男,4 
,,,,,2:女,5 
,,,,09_40～44歳,1:男,3 
,,,,,2:女,2 
,,,,11_50～54歳,2:女,1 
,,,34：特定活動,05_20～24歳,1:男,2 
,,,,06_25～29歳,1:男,1 
,,,36：日本人の配偶者等,06_25～29歳,2:女,2 
,,,,07_30～34歳,2:女,2 
,,,,08_35～39歳,2:女,1 
,,01_030：パキスタン,07：高度専門職１号イ,07_30～34歳,1:男,1 
,,,11：経営・管理,08_35～39歳,1:男,1 
,,,16：技術・人文知識・国際業務,12_55～59歳,1:男,1 
,,,20：技能,08_35～39歳,1:男,1 
,,,,11_50～54歳,1:男,1 
,,,31：留学,05_20～24歳,1:男,6 
,,,,06_25～29歳,1:男,6 
,,,,,2:女,3 
,,,33：家族滞在,01_０～４歳,1:男,2 
,,,,02_５～９歳,1:男,1 
,,,,,2:女,2 
,,,,06_25～29歳,2:女,1 
,,,,07_30～34歳,2:女,1 
,,,34：特定活動,13_60～64歳,1:男,1 
,,,35：永住者,10_45～49歳,1:男,1 
,,,,11_50～54歳,1:男,1 
,,,,,2:女,1 
,,,,14_65～69歳,1:男,1 
,,01_032：バングラデシュ,03：教授,07_30～34歳,1:男,1 
,,,,,2:女,2 
,,,,08_35～39歳,1:男,3 
,,,16：技術・人文知識・国際業務,08_35～39歳,1:男,1 
,,,21：特定技能１号,06_25～29歳,1:男,2 
,,,,07_30～34歳,1:男,2 
,,,24：技能実習１号ロ,05_20～24歳,1:男,1 
,,,,06_25～29歳,1:男,3 
,,,26：技能実習２号ロ,05_20～24歳,1:男,1 
,,,,06_25～29歳,1:男,3 
,,,31：留学,05_20～24歳,1:男,3 
,,,,,2:女,4 
,,,,06_25～29歳,1:男,12 
,,,,,2:女,6 
,,,,07_30～34歳,1:男,8 
,,,,,2:女,3 
,,,,08_35～39歳,1:男,4 
,,,,,2:女,1 
,,,33：家族滞在,01_０～４歳,1:男,1 
,,,,,2:女,1 
,,,,02_５～９歳,1:男,1 
,,,,,2:女,2 
,,,,06_25～29歳,2:女,1 
,,,,07_30～34歳,2:女,1 
,,,,08_35～39歳,1:男,1 
,,,35：永住者,02_５～９歳,2:女,1 
,,,,08_35～39歳,1:男,1 
,,,,,2:女,1 
,,,37：永住者の配偶者等,01_０～４歳,1:男,2 
,,01_034：フィリピン,15：教育,07_30～34歳,2:女,1 
,,,,08_35～39歳,2:女,1 
,,,,10_45～49歳,2:女,1 
,,,16：技術・人文知識・国際業務,06_25～29歳,2:女,2 
,,,,07_30～34歳,1:男,2 
,,,,,2:女,2 
,,,,08_35～39歳,1:男,6 
,,,,,2:女,2 
,,,,09_40～44歳,2:女,1 
,,,,10_45～49歳,2:女,1 
,,,17：企業内転勤,07_30～34歳,2:女,1 
,,,18：介護,07_30～34歳,2:女,1 
,,,21：特定技能１号,05_20～24歳,2:女,6 
,,,,06_25～29歳,1:男,1 
,,,,,2:女,2 
,,,,07_30～34歳,1:男,3 
,,,,08_35～39歳,1:男,2 
,,,,,2:女,1 
,,,,09_40～44歳,2:女,2 
,,,,10_45～49歳,2:女,1 
,,,,11_50～54歳,2:女,1 
,,,22：特定技能２号,06_25～29歳,2:女,1 
,,,24：技能実習１号ロ,05_20～24歳,2:女,1 
,,,,08_35～39歳,2:女,1 
,,,,09_40～44歳,2:女,1 
,,,26：技能実習２号ロ,05_20～24歳,2:女,2 
,,,,06_25～29歳,1:男,3 
,,,,,2:女,5 
,,,,07_30～34歳,2:女,3 
,,,,08_35～39歳,1:男,2 
,,,,,2:女,1 
,,,,09_40～44歳,2:女,1 
,,,31：留学,05_20～24歳,1:男,1 
,,,,,2:女,1 
,,,,06_25～29歳,2:女,1 
,,,,08_35～39歳,2:女,1 
,,,33：家族滞在,01_０～４歳,1:男,2 
,,,,03_10～14歳,2:女,1 
,,,,04_15～19歳,2:女,2 
,,,,06_25～29歳,2:女,1 
,,,,07_30～34歳,1:男,1 
,,,,10_45～49歳,1:男,2 
,,,34：特定活動,06_25～29歳,2:女,1 
,,,35：永住者,04_15～19歳,1:男,1 
,,,,,2:女,1 
,,,,05_20～24歳,1:男,1 
,,,,,2:女,1 
,,,,06_25～29歳,1:男,1 
,,,,07_30～34歳,1:男,3 
